0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
39,35,31,27,31,34,30,39,39,30,34,23,35,39,41,35,35,22,34
42,34,36,36,36,33,32,42,42,32,37,37,37,42,22,34,34,34,30
31,21,25,31,25,26,31,31,31,31,26,32,41,31,32,21,21,29,29
31,21,25,31,25,26,31,31,31,31,26,32,41,31,32,21,21,29,29
43,28,36,44,36,38,36,43,43,36,38,42,41,43,41,28,28,28,34
25,23,26,33,26,17,38,25,25,38,23,34,35,25,29,23,23,31,26
31,26,29,36,29,21,27,31,31,27,26,37,33,31,27,26,26,29,29
31,34,43,36,43,32,36,31,31,36,53,37,26,31,23,34,34,25,29
43,28,36,44,36,38,36,43,43,36,38,42,41,43,41,28,28,28,34
39,29,39,40,39,42,30,39,39,30,34,30,38,39,34,29,29,29,41
31,34,43,36,43,32,36,31,31,36,53,37,26,31,23,34,34,25,29
43,28,36,44,36,38,36,43,43,36,38,42,41,43,41,28,28,28,34
31,33,40,38,40,60,38,31,31,38,25,21,38,31,44,33,33,36,32
31,26,29,36,29,21,27,31,31,27,26,37,33,31,27,26,26,29,29
32,24,42,39,42,33,36,32,32,36,24,33,43,32,25,24,24,27,33
43,28,36,44,36,38,36,43,43,36,38,42,41,43,41,28,28,28,34
31,21,25,31,25,26,31,31,31,31,26,32,41,31,32,21,21,29,29
32,28,41,60,41,32,32,32,32,32,32,32,42,32,35,28,28,27,36
25,23,26,33,26,17,38,25,25,38,23,34,35,25,29,23,23,31,26
25,23,26,33,26,17,38,25,25,38,23,34,35,25,29,23,23,31,26
33,29,49,48,49,26,26,33,33,26,38,30,41,33,30,29,29,39,34
31,21,25,31,25,26,31,31,31,31,26,32,41,31,32,21,21,29,29
31,34,43,36,43,32,36,31,31,36,53,37,26,31,23,34,34,25,29
43,28,36,44,36,38,36,43,43,36,38,42,41,43,41,28,28,28,34
