Unnamed: 0,Unnamed: 1,Alliance,Systems,Members,Corps,Unnamed: 6,Unnamed: 7,Unnamed: 8
1.0,,Pan-Intergalatic Business Community,250.0,2718.0,71.0,,,
2.0,,Fraternity.,246.0,25805.0,155.0,,,
3.0,,Pandemic Horde,212.0,34209.0,112.0,,,
4.0,,Northern Coalition.,173.0,4626.0,32.0,,,
5.0,,Legion of xXDEATHXx,158.0,4290.0,24.0,,,
6.0,,Goonswarm Federation,113.0,32675.0,452.0,,,
7.0,,The Initiative.,110.0,11913.0,66.0,,,
8.0,,Dracarys.,107.0,6181.0,80.0,,,
9.0,,WE FORM BL0B,79.0,2876.0,35.0,,,
10.0,,Solyaris Chtonium,77.0,2848.0,32.0,,,
11.0,,UNREAL Alliance,63.0,981.0,13.0,,,
12.0,,RAZOR Alliance,55.0,1308.0,38.0,,,
13.0,,Azure Citizen,44.0,2050.0,49.0,,,
14.0,,Valkyrie Alliance,44.0,915.0,16.0,,,
15.0,,The Rogue Consortium,41.0,745.0,22.0,,,
16.0,,Sigma Grindset,40.0,1764.0,21.0,,,
17.0,,Siberian Squads,40.0,1014.0,13.0,,,
18.0,,WE FORM V0LTA,40.0,534.0,4.0,,,
19.0,,East Wind.,29.0,951.0,14.0,,,
20.0,,Esports Petopia,28.0,164.0,4.0,,,
21.0,,Brave Collective,27.0,8293.0,67.0,,,
22.0,,No Value,25.0,2610.0,30.0,,,
23.0,,Sev3rance,25.0,971.0,21.0,,,
24.0,,Already Replaced.,23.0,1138.0,19.0,,,
25.0,,Continental - International - Alliance,23.0,81.0,3.0,,,
26.0,,Nocturne.,22.0,377.0,8.0,,,
27.0,,Triumvirate.,22.0,288.0,6.0,,,
28.0,,Synergy of Steel,20.0,1562.0,21.0,,,
29.0,,Shadow Ultimatum,20.0,1359.0,53.0,,,
30.0,,Caladrius Alliance,19.0,1705.0,11.0,,,
31.0,,Deep Space Alliance,19.0,443.0,11.0,,,
32.0,,Federation of Respect Honor Passion Alliance.,18.0,1976.0,42.0,,,
33.0,,Invidia Gloriae Comes,18.0,1216.0,24.0,,,
34.0,,MOONFIRE.,17.0,913.0,17.0,,,
35.0,,Intrepid Crossing,16.0,1444.0,40.0,,,
36.0,,The Very Well Hung Alliance,16.0,7.0,3.0,,,
37.0,,Flying Dangerous,15.0,704.0,12.0,,,
38.0,,Banderlogs Alliance,15.0,418.0,7.0,,,
39.0,,GameTheory,15.0,201.0,2.0,,,
40.0,,P-A-T-R-I-O-T-S,14.0,907.0,18.0,,,
41.0,,Warriors of Sol,14.0,514.0,13.0,,,
42.0,,Pandemic Legion,13.0,2393.0,13.0,,,
43.0,,What Could Possibly Go Wr0ng,13.0,1116.0,37.0,,,
44.0,,Scumlords,13.0,628.0,18.0,,,
45.0,,Literally Triggered,12.0,566.0,10.0,,,
46.0,,STAR TRAILS ALLIANCE,12.0,333.0,6.0,,,
47.0,,Auric Transition,12.0,155.0,3.0,,,
48.0,,Reeloaded.,11.0,710.0,13.0,,,
49.0,,Kiss My French,11.0,212.0,4.0,,,
50.0,,COALICION HISPANA,10.0,553.0,10.0,,,
51.0,,The Hivemind Federation Alliance,10.0,125.0,3.0,,,
52.0,,Sylvanas Super mercenary,9.0,833.0,12.0,,,
53.0,,Blades of Grass,9.0,546.0,11.0,,,
54.0,,Weapons Of Mass Production.,9.0,211.0,3.0,,,
55.0,,Who Dares Wins.,8.0,830.0,17.0,,,
56.0,,Siege Green.,8.0,555.0,13.0,,,
57.0,,PURPLE HELMETED WARRIORS,8.0,547.0,21.0,,,
58.0,,Apocalypse Now.,8.0,531.0,13.0,,,
59.0,,No Visual.,8.0,287.0,9.0,,,
60.0,,SONS of BANE,8.0,283.0,12.0,,,
61.0,,Quote Alliance,7.0,428.0,10.0,,,
62.0,,FuriaHispana.,6.0,582.0,7.0,,,
63.0,,Mohist Alliance,6.0,399.0,4.0,,,
64.0,,Life.Alliance,6.0,343.0,6.0,,,
65.0,,Beanstalk Inc.,6.0,338.0,34.0,,,
66.0,,Bright Side of Death,6.0,221.0,11.0,,,
67.0,,The Vanguard Syndicate,6.0,191.0,7.0,,,
68.0,,Against ALL Authorities.,6.0,165.0,5.0,,,
69.0,,Stellae Renascitur,5.0,480.0,27.0,,,
70.0,,The Knights of Evermore,5.0,326.0,13.0,,,
71.0,,The Commonwealth.,4.0,481.0,13.0,,,
72.0,,Stargate-Commando,4.0,4.0,1.0,,,
73.0,,Tactical Narcotics Team,3.0,2468.0,41.0,,,
74.0,,Curatores Veritatis Alliance,3.0,305.0,10.0,,,
75.0,,Hisec Miners,3.0,213.0,4.0,,,
76.0,,MythFleet Republic,3.0,192.0,6.0,,,
77.0,,Death By Girth,3.0,132.0,7.0,,,
78.0,,Get Off My Lawn,2.0,1550.0,28.0,,,
79.0,,Red Alliance,2.0,653.0,36.0,,,
80.0,,Odin's Call,2.0,359.0,14.0,,,
