Unnamed: 0,Unnamed: 1,Alliance,Systems,Members,Corps
1.0,,-Entropy-,0,0,0
2.0,,-Silicon Heaven-,0,0,0
3.0,,0 Fuqs Given,0,0,0
4.0,,0 M E G A,0,0,0
5.0,,0ccupational Hazzard,0,0,0
6.0,,0FF C0NSTANTLY,0,0,0
7.0,,0G Enterprises,0,0,0
8.0,,0ld Republic,0,0,0
9.0,,0mega Factor,0,0,0
10.0,,0REC0RE,0,0,0
11.0,,0RIGIN IMPERIUM,0,0,0
12.0,,0rizen Nation,0,0,0
13.0,,0ut of 0rder,0,0,0
14.0,,0utCaSts.,0,0,0
15.0,,0utlanders.,0,0,0
16.0,,1 athanor is nothing to me,0,0,0
17.0,,1 Shot 1 Kill,0,0,0
18.0,,1-79th Dream FIeet Alliance,0,0,0
19.0,,1. Intergalaktischer Commonwealth,0,0,0
20.0,,1000 Resources Alliance,0,0,0
21.0,,101010 Alliance,0,0,0
22.0,,10110001100111101000,0,0,0
23.0,,10111001011100100011,0,0,0
24.0,,1066 Mining Inc,0,0,0
25.0,,10th Legion.,0,0,0
26.0,,1121 Ventures,0,0,0
27.0,,123.456,0,0,0
28.0,,1234. Alliance,0,0,0
29.0,,13 COILS,0,0,0
30.0,,1337 Logistics And Trade Compliance,0,0,0
31.0,,13th Legion of Honor,0,0,0
32.0,,13th-Edition,0,0,0
33.0,,14 Minutes,0,0,0
34.0,,14 minutes,0,0,0
35.0,,143rd Galvanized Vultures,0,0,0
36.0,,14TH WORMHOLE FLEET DIVISION,0,0,0
37.0,,160th NightStalkers Alliance,0,0,0
38.0,,187 Coalition,0,0,0
39.0,,1947 Miner and Ship Building Corp Alliance,0,0,0
40.0,,1B ISK Customer Alliance,0,0,0
41.0,,1kB Galactic,0,0,0
42.0,,1pointcesttout,0,0,0
43.0,,1st EU Alliance,0,0,0
44.0,,1st foundation enterprises alliance,0,0,0
45.0,,1ST GERMAN POPPLERS,0,0,0
46.0,,1st Hyperion Space Squadron Alliance,0,0,3
47.0,,1st Imperial Service Support Group,0,0,0
48.0,,1st Star Alliance,0,0,0
49.0,,1st Star Alliance,0,0,0
50.0,,1stJager Alliance,0,0,0
51.0,,2 2 2,0,0,0
52.0,,2 Geeks Inc.,0,0,0
53.0,,21 BEK,0,0,0
54.0,,23rd Flotilla,0,0,0
55.0,,24eme Legion Etrangere,0,0,0
56.0,,2T20 Alliance,0,0,0
57.0,,315th Circuit Court,0,0,0
58.0,,31ST Reliables Division,0,0,0
59.0,,31ST Reliables Division,0,0,0
60.0,,3200,0,0,0
61.0,,3asy Company,0,0,0
62.0,,3dge of D4rkness.,0,0,0
63.0,,3KCKABATOP,0,0,0
64.0,,3M Unlimited,0,0,0
65.0,,3rd Front Alliance,0,0,0
66.0,,3rd Marine Air Wing,0,0,0
67.0,,3rd Party Secured,0,0,0
68.0,,3V30S W-Space Tools,0,0,0
69.0,,4 BROWN COWS,0,0,0
70.0,,4-Ce Alliance,0,0,0
71.0,,404 Alliance Not Found,0,0,0
72.0,,404 Hole Not Found,0,0,0
73.0,,404 Pilot Not Found,0,0,0
74.0,,404 Pilot Not Found,0,0,0
75.0,,42 Holdings,0,0,0
76.0,,420Alliance,0,0,0
77.0,,4rest.space,0,0,0
78.0,,4U Holdings Inc,0,0,0
79.0,,4UNITY,0,0,0
80.0,,4WARD Holding,0,0,0
81.0,,4x4 CIS Alliance,0,0,0
82.0,,5150 Bastards,0,0,0
83.0,,555,0,0,0
84.0,,57th Combat,0,0,0
85.0,,591st Forces,0,0,0
86.0,,5LaY3r's Interstellar Alliance,0,0,0
87.0,,5tarbucks,0,0,0
88.0,,5th Column,0,0,0
89.0,,5th Rule of Kintaro Alliance,0,0,0
90.0,,5th. Division,0,0,0
91.0,,5W4RM,0,0,0
92.0,,5ynergy Alliance,0,0,0
93.0,,606 Legion,0,0,0
94.0,,6th Sense,0,0,0
95.0,,7 swords,0,0,0
96.0,,7th Circle Ascension,0,0,0
97.0,,7th Sanctum,0,0,0
98.0,,8 ALLIANCE,0,0,0
99.0,,8 Men 1 Sheep,0,0,0
100.0,,8B-ahn,0,0,0
101.0,,99 Bottles Of Rum,0,0,0
102.0,,9ine Inches Limp,0,0,0
103.0,,9th Company,0,0,0
104.0,,9th Fleet,0,0,0
105.0,,A Alliance Has No Name,0,0,0
106.0,,A bunch of Corpses,0,0,0
107.0,,A Cartel,0,0,0
108.0,,A Class Apart,0,0,0
109.0,,A Few Brave Men,0,0,0
110.0,,A Few Good Men.,0,0,0
111.0,,A Gathering of Hungry Ghosts,0,0,0
112.0,,A Gentle Tyranny,0,0,0
113.0,,A L P H A,0,0,0
114.0,,A L P H A - O M E G A,0,0,0
115.0,,A load of rubbish,0,0,0
116.0,,A Lost Fleet,0,0,0
117.0,,A N T H I L L,0,0,0
118.0,,A Nest of Vipers,0,0,0
119.0,,A New Beginning,0,0,0
120.0,,A New Space Order,0,0,0
121.0,,A New Way to Play,0,0,0
122.0,,A Number One,0,0,0
123.0,,A Random Shell Alliance,0,0,0
124.0,,A Rather Intimidating Group of Individuals,0,0,0
125.0,,A Salt and Battery,0,0,0
126.0,,A T O N E M E N T,0,0,0
127.0,,A Tribe Called Galaxy Quest,0,0,0
128.0,,A V A L O N,0,0,0
129.0,,A Van In the Hills Alliance,0,0,0
130.0,,A Very Cynacle Alliance,0,0,0
131.0,,A-F-K Miners,0,0,0
132.0,,A.A.A.A.A,0,0,0
133.0,,A.F.K,0,0,0
134.0,,A.G.E.N.C.Y TACTICAL FOUNDATIONS DIVISION,0,0,0
135.0,,A.I.P,0,0,0
136.0,,A.k.u,0,0,0
137.0,,A.L.R.O.S.A,0,0,0
138.0,,A.M.F. Alliance,0,0,0
139.0,,A.P.E.X Syndicate,0,0,0
140.0,,A.P.E.X Syndicate,0,0,0
141.0,,A.P.I,0,0,0
142.0,,A.P.O.P.H.I.S,0,0,0
143.0,,A.R.K.,0,0,0
144.0,,A.W.A.C.S and Friends,0,0,0
145.0,,A.W.E.S.O.M.E,0,0,0
146.0,,A.X.I.S,0,0,0
147.0,,A1000,0,0,0
148.0,,A5TRO,0,0,0
149.0,,AAA Academy Alliance,0,0,0
150.0,,AAA Citizens,0,0,0
151.0,,AAA Citizens,0,0,0
152.0,,Aaaah Smug Mode,0,0,0
153.0,,Aahh Real Monsters,0,0,0
154.0,,Ab Jove Principium,0,0,0
155.0,,Abacus Alliance,0,0,0
156.0,,Abandon PlayGrounds,0,0,0
157.0,,Abandon Ships,0,0,0
158.0,,Abh Alliance,0,0,0
159.0,,Abraxas Industrial,0,0,0
160.0,,Absence of Light,0,0,0
161.0,,ABSOLUTE ANARCHY.,0,0,0
162.0,,Absolute Damage Inc.,0,0,0
163.0,,Absolute Darkness,0,0,0
164.0,,Absolute Defiance,0,0,0
165.0,,Absolute Gaming Holding Corp Alliance,0,0,0
166.0,,Absolute Guardians Syndicate,0,0,0
167.0,,Absolute Zero.,0,0,0
168.0,,Absolution Alliance,0,0,0
169.0,,Absolution.,0,0,0
170.0,,Absolutly Barbaric,0,0,0
171.0,,Abundance Alliance,0,0,0
172.0,,Abuse of Power.,0,0,0
173.0,,Abuse.,0,0,0
174.0,,Abusive Relationship's,0,0,0
175.0,,Abusive Tendencies,0,0,0
176.0,,Abyss Alliance,0,0,0
177.0,,Abyss Rising,0,0,0
178.0,,Abyssal Pillow Monsters,0,0,0
179.0,,Abyssal Plain,0,0,0
180.0,,Abyssus Incendia,0,0,0
181.0,,Academy of Villains,0,0,0
182.0,,Academy.,0,0,0
183.0,,Accelerated Impact,0,0,0
184.0,,Access.Denied,0,0,0
185.0,,Accidental Encounter Destined Ending,0,0,0
186.0,,Accidental Overdose,0,0,0
187.0,,Accidental War Dec - Will Fix,0,0,0
188.0,,Accidentally The Whole Thing,0,0,0
189.0,,Accord Corporate Enterprise Syndicate,0,0,0
190.0,,Accretion Dynamics,0,0,0
191.0,,Accursed Empire,0,0,0
192.0,,ACE WRECKING COMPANY,0,0,0
193.0,,Aces and Eights Alliance,0,0,0
194.0,,Aces Wild.,0,0,0
195.0,,Acheron Consortium,0,0,0
196.0,,Acheron Empire,0,0,0
197.0,,Acheron Federation,0,0,0
198.0,,Acheron Imperial Dominion,0,0,0
199.0,,Acheron Imperial Dominion,0,0,0
200.0,,Achilles Syndicate Alliance,0,0,0
201.0,,AchtungBaby,0,0,0
202.0,,Acid Alliance,0,0,0
