0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
33,31,30,33,30,38,50,33,33,50,29,29,30,33,38,31,31,36,38
30,50,30,30,30,30,17,30,30,17,20,40,30,30,30,50,50,30,30
31,31,30,23,30,31,17,31,31,17,23,38,30,31,23,31,31,31,31
31,31,30,23,30,31,17,31,31,17,23,38,30,31,23,31,31,31,31
27,36,30,40,30,29,33,27,27,33,29,36,30,27,82,36,36,29,36
31,31,30,23,30,31,17,31,31,17,23,38,30,31,23,31,31,31,31
31,31,30,23,30,31,17,31,31,17,23,38,30,31,23,31,31,31,31
20,24,40,27,40,29,17,20,20,17,50,21,40,20,28,24,24,29,17
27,36,30,40,30,29,33,27,27,33,29,36,30,27,82,36,36,29,36
33,35,30,20,30,29,33,33,33,33,29,29,30,33,29,35,35,29,29
20,24,40,27,40,29,17,20,20,17,50,21,40,20,28,24,24,29,17
27,36,30,40,30,29,33,27,27,33,29,36,30,27,82,36,36,29,36
40,35,30,27,30,100,33,40,40,33,29,29,30,40,29,35,35,29,24
31,31,30,23,30,31,17,31,31,17,23,38,30,31,23,31,31,31,31
20,33,50,73,50,28,17,20,20,17,29,29,50,20,47,33,33,29,40
27,36,30,40,30,29,33,27,27,33,29,36,30,27,82,36,36,29,36
31,31,30,23,30,31,17,31,31,17,23,38,30,31,23,31,31,31,31
29,30,50,64,50,30,33,29,29,33,36,36,50,29,36,30,30,29,36
31,31,30,23,30,31,17,31,31,17,23,38,30,31,23,31,31,31,31
31,31,30,23,30,31,17,31,31,17,23,38,30,31,23,31,31,31,31
20,33,50,73,50,28,17,20,20,17,29,29,50,20,47,33,33,29,40
31,31,30,23,30,31,17,31,31,17,23,38,30,31,23,31,31,31,31
20,24,40,27,40,29,17,20,20,17,50,21,40,20,28,24,24,29,17
27,36,30,40,30,29,33,27,27,33,29,36,30,27,82,36,36,29,36
