0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
32,30,23,32,23,36,36,32,32,36,27,33,23,32,31,30,30,33,34
24,37,30,32,30,30,12,24,24,12,17,33,30,24,24,37,37,25,17
29,27,26,21,26,27,11,29,29,11,22,37,26,29,39,27,27,30,26
29,27,26,21,26,27,11,29,29,11,22,37,26,29,39,27,27,30,26
22,31,25,32,25,26,14,22,22,14,22,28,25,22,80,31,31,22,34
29,27,26,21,26,27,11,29,29,11,22,37,26,29,39,27,27,30,26
29,27,26,21,26,27,11,29,29,11,22,37,26,29,39,27,27,30,26
18,23,29,36,29,29,8,18,18,8,44,19,29,18,24,23,23,25,19
22,31,25,32,25,26,14,22,22,14,22,28,25,22,80,31,31,22,34
31,35,30,19,30,29,26,31,31,26,32,32,30,31,25,35,35,26,33
18,23,29,36,29,29,8,18,18,8,44,19,29,18,24,23,23,25,19
22,31,25,32,25,26,14,22,22,14,22,28,25,22,80,31,31,22,34
38,35,22,25,22,100,17,38,38,17,26,39,22,38,30,35,35,32,24
29,27,26,21,26,27,11,29,29,11,22,37,26,29,39,27,27,30,26
20,31,48,73,48,25,10,20,20,10,28,28,48,20,37,31,31,28,35
22,31,25,32,25,26,14,22,22,14,22,28,25,22,80,31,31,22,34
29,27,26,21,26,27,11,29,29,11,22,37,26,29,39,27,27,30,26
28,26,50,69,50,26,20,28,28,20,36,36,50,28,27,26,26,29,36
29,27,26,21,26,27,11,29,29,11,22,37,26,29,39,27,27,30,26
29,27,26,21,26,27,11,29,29,11,22,37,26,29,39,27,27,30,26
20,31,48,73,48,25,10,20,20,10,28,28,48,20,37,31,31,28,35
29,27,26,21,26,27,11,29,29,11,22,37,26,29,39,27,27,30,26
18,23,29,36,29,29,8,18,18,8,44,19,29,18,24,23,23,25,19
22,31,25,32,25,26,14,22,22,14,22,28,25,22,80,31,31,22,34
