0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
40,35,34,38,34,29,33,40,40,33,41,24,36,40,43,35,35,33,36
30,31,34,35,34,35,29,30,30,29,35,41,34,30,30,31,31,41,32
29,19,38,24,38,18,33,29,29,33,24,29,38,29,24,19,19,38,33
29,19,38,24,38,18,33,29,29,33,24,29,38,29,24,19,19,38,33
33,23,36,35,36,35,33,33,33,33,24,35,33,33,48,23,23,26,29
28,17,33,22,33,18,33,28,28,33,24,29,28,28,22,17,17,28,33
33,24,33,29,33,18,38,33,33,38,18,29,33,33,19,24,24,33,33
29,38,38,40,38,29,29,29,29,29,53,35,24,29,24,38,38,33,29
33,23,36,35,36,35,33,33,33,33,24,35,33,33,48,23,23,26,29
30,31,31,46,31,41,29,30,30,29,35,35,40,30,26,31,31,33,46
29,38,38,40,38,29,29,29,29,29,53,35,24,29,24,38,38,33,29
33,23,36,35,36,35,33,33,33,33,24,35,33,33,48,23,23,26,29
23,35,34,38,34,75,25,23,23,25,29,29,36,23,30,35,35,55,29
33,24,33,29,33,18,38,33,33,38,18,29,33,33,19,24,24,33,33
34,27,38,38,38,35,33,34,34,33,29,53,32,34,26,27,27,33,43
33,23,36,35,36,35,33,33,33,33,24,35,33,33,48,23,23,26,29
29,19,38,24,38,18,33,29,29,33,24,29,38,29,24,19,19,38,33
37,31,49,54,49,29,29,37,37,29,35,35,36,37,30,31,31,37,36
28,17,33,22,33,18,33,28,28,33,24,29,28,28,22,17,17,28,33
28,17,33,22,33,18,33,28,28,33,24,29,28,28,22,17,17,28,33
28,31,34,42,34,29,29,28,28,29,35,29,38,28,26,31,31,37,29
29,19,38,24,38,18,33,29,29,33,24,29,38,29,24,19,19,38,33
29,38,38,40,38,29,29,29,29,29,53,35,24,29,24,38,38,33,29
33,23,36,35,36,35,33,33,33,33,24,35,33,33,48,23,23,26,29
