0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
52,30,31,26,31,36,36,52,52,36,27,33,31,52,41,30,30,33,29
24,37,30,32,30,15,12,24,24,12,25,42,30,24,30,37,37,33,23
36,27,35,36,35,27,11,36,36,11,22,37,35,36,56,27,27,30,32
36,27,35,36,35,27,11,36,36,11,22,37,35,36,56,27,27,30,32
32,26,31,43,31,26,14,32,32,14,28,33,31,32,71,26,26,28,34
36,27,35,36,35,27,11,36,36,11,22,37,35,36,56,27,27,30,32
36,27,35,36,35,27,11,36,36,11,22,37,35,36,56,27,27,30,32
30,40,36,36,36,29,25,30,30,25,44,25,36,30,24,40,40,31,28
32,26,31,43,31,26,14,32,32,14,28,33,31,32,71,26,26,28,34
44,35,30,25,30,41,35,44,44,35,26,32,30,44,35,35,35,39,33
30,40,36,36,36,29,25,30,30,25,44,25,36,30,24,40,40,31,28
32,26,31,43,31,26,14,32,32,14,28,33,31,32,71,26,26,28,34
44,41,22,31,22,100,17,44,44,17,26,26,22,44,30,41,41,39,24
36,27,35,36,35,27,11,36,36,11,22,37,35,36,56,27,27,30,32
33,31,64,73,64,31,19,33,33,19,28,28,64,33,42,31,31,28,30
32,26,31,43,31,26,14,32,32,14,28,33,31,32,71,26,26,28,34
36,27,35,36,35,27,11,36,36,11,22,37,35,36,56,27,27,30,32
34,32,67,69,67,32,20,34,34,20,36,36,67,34,32,32,32,29,36
36,27,35,36,35,27,11,36,36,11,22,37,35,36,56,27,27,30,32
36,27,35,36,35,27,11,36,36,11,22,37,35,36,56,27,27,30,32
33,31,64,73,64,31,19,33,33,19,28,28,64,33,42,31,31,28,30
36,27,35,36,35,27,11,36,36,11,22,37,35,36,56,27,27,30,32
30,40,36,36,36,29,25,30,30,25,44,25,36,30,24,40,40,31,28
32,26,31,43,31,26,14,32,32,14,28,33,31,32,71,26,26,28,34
